cliente_id,pais,ciudad,estado,borough,codigo_postal,latitud,longitud,ingreso_mediano,densidad_poblacional,genero,edad,es_mayor,tiene_pareja,tiene_dependientes,segmento_cliente,fecha_registro,tipo_contrato,antiguedad,canal_registro,metodo_pago,cargo_mensual,ingresos_totales,errores_pago,descuento_aplicado,aumento_precio_3m,facturacion_sin_papel,servicio_telefono,lineas_multiples,tipo_internet,seguridad_online,respaldo_online,proteccion_dispositivo,soporte_tecnico,streaming_tv,streaming_peliculas,conexiones_mensuales,dias_activos_semanales,promedio_conexion,caracteristicas_usadas,tasa_crecimiento_uso,tiempo_sesion_promedio,visitas_app_mensual,features_nuevas_usadas,tickets_soporte,tiempo_resolucion,tipo_queja,escaladas,ultimo_contacto_soporte,puntuacion_nps,puntuacion_csat,tasa_apertura_email,tasa_clics_marketing,respuesta_encuesta,referencias_hechas,fecha_ultimo_pago,intentos_cobro_fallidos,dias_mora,cambio_plan_reciente,downgrade_reciente,competidores_area,ofertas_recibidas,precio_vs_mercado,cancelacion
0002-ORFBO,USA,New York,NY,BROOKLYN,11250,40.726363407709975,-73.81071249506411,63000.0,14000.0,Femenino,36.0,0,Si,Si,PYME,2025-04-15,Un año,9,Web,Cheque por correo,91.06,819.54,0,No,No,Si,Si,No,DSL,No,Si,No,Si,Si,No,82,7,104.31,7,-3.48,11.51,66,3,1,7.9,Ninguna,0,2025-11-27,75,4.5,0.59,0.23,Neutral,2.0,2025-11-22,2,0,1,0,4,0,Competitivo,0
0003-MKNFE,USA,New York,NY,STATEN ISLAND,10310,40.678021618445726,-73.80204202522333,82000.0,3200.0,Masculino,45.0,0,No,No,Residencial,2025-04-15,Mensual,9,Web,Cheque por correo,66.53,598.77,1,No,No,No,Si,Si,DSL,No,No,No,No,No,Si,117,5,76.3,11,1.1,20.17,51,6,3,15.2,Red,0,2025-11-10,52,3.9,0.4,0.17,Satisfecho,0.0,2025-11-09,1,0,0,0,1,2,Alto,0
0004-TLHLJ,USA,New York,NY,QUEENS,11229,40.6381342463984,-74.08748348750338,72000.0,8500.0,Masculino,36.0,0,No,No,PYME,2025-09-12,Mensual,4,Web,Cheque electrónico,91.49,365.96,0,15%,No,Si,Si,No,Fibra óptica,No,No,Si,No,No,No,16,3,38.1,4,-1.67,109.44,5,5,7,12.6,Calidad,0,2025-10-29,21,2.6,0.1,0.04,Insatisfecho,0.0,2025-12-02,0,0,0,0,6,2,Competitivo,1
0011-IGKFF,USA,New York,NY,QUEENS,11501,40.68332108396678,-73.80646834200998,72000.0,8500.0,Masculino,44.0,1,Si,No,PYME,2024-12-16,Mensual,13,Web,Cheque electrónico,121.46,1578.98,2,25%,Si,Si,Si,No,Fibra óptica,No,Si,Si,No,Si,Si,18,3,40.6,1,0.7,90.94,9,0,7,44.4,Servicio,1,2025-11-14,13,1.5,0.3,0.14,Sin Respuesta,0.0,2025-12-16,2,0,0,0,2,3,Competitivo,1
0013-EXCHZ,USA,New York,NY,MANHATTAN,10257,40.764546070630075,-73.96007759374963,85000.0,28000.0,Femenino,48.0,1,Si,No,PYME,2025-10-12,Mensual,3,Web,Cheque por correo,142.89,428.67,1,10%,No,Si,Si,No,Fibra óptica,No,No,No,Si,Si,No,20,1,44.92,4,-13.73,113.28,37,8,7,10.0,Facturacion,0,2025-08-12,0,1.2,0.15,0.06,Insatisfecho,0.0,2025-11-18,2,0,0,0,1,0,Alto,1
0013-MHZWF,USA,New York,NY,MANHATTAN,10025,40.793055524300016,-73.94067038838055,85000.0,28000.0,Femenino,28.0,0,No,Si,Residencial,2025-04-15,Mensual,9,Web,Tarjeta de crédito,91.59,824.3100000000001,0,No,No,Si,Si,No,DSL,No,No,No,Si,Si,Si,137,7,50.11,6,-4.43,53.73,76,4,2,5.9,Ninguna,0,2025-11-09,50,3.0,0.42,0.13,Muy satisfecho,0.0,2025-12-23,1,0,0,0,1,1,Competitivo,0
0013-SMEOE,USA,New York,NY,MANHATTAN,10158,40.60908574817445,-74.15938626918856,85000.0,28000.0,Femenino,37.0,1,Si,No,Corporativo,2020-03-12,Dos años,71,Web,Transferencia bancaria,152.52,10828.92,0,No,No,Si,Si,No,Fibra óptica,Si,Si,Si,Si,Si,Si,121,4,104.72,7,4.35,74.14,11,9,2,4.5,Ninguna,0,2025-09-29,84,4.9,0.73,0.36,Satisfecho,0.0,2025-12-10,1,0,0,1,2,2,Bajo,0
0014-BMAQU,USA,New York,NY,BRONX,10467,40.62033098714456,-74.0289396527948,42000.0,13000.0,Masculino,56.0,0,Si,No,Corporativo,2020-11-07,Dos años,63,Web,Tarjeta de crédito,138.66,8735.58,0,No,No,Si,Si,Si,Fibra óptica,Si,No,No,Si,No,No,113,5,50.23,7,14.35,60.62,45,10,2,6.2,Ninguna,0,2025-11-09,60,2.8,0.26,0.11,Satisfecho,1.0,2025-11-22,1,0,0,0,4,0,Competitivo,0
0015-UOCOJ,USA,New York,NY,QUEENS,11072,40.75160087645343,-73.97645328154913,72000.0,8500.0,Femenino,19.0,1,No,No,Residencial,2025-06-14,Mensual,7,Web,Cheque electrónico,47.3,331.09999999999997,0,No,No,Si,Si,No,DSL,Si,No,No,No,No,No,122,5,68.61,7,10.36,106.36,48,1,2,32.2,Ninguna,0,2025-07-13,84,4.7,0.79,0.37,Muy satisfecho,1.0,2025-11-03,1,30,0,1,1,0,Alto,0
0016-QLJIS,USA,New York,NY,QUEENS,11452,40.67438174019098,-73.96311295640983,72000.0,8500.0,Femenino,62.0,0,Si,Si,Corporativo,2020-09-08,Dos años,65,Web,Cheque por correo,108.23,7034.95,0,No,No,Si,Si,Si,DSL,Si,Si,Si,Si,Si,Si,69,4,93.47,5,-4.75,119.01,90,4,1,2.3,Ninguna,0,2025-09-16,64,3.0,0.27,0.13,Neutral,0.0,2025-12-12,0,0,1,0,2,3,Bajo,0
