ClienteID,FechaRegistro,Genero,EsMayor,TienePareja,TieneDependientes,Ciudad,Estado,Borough,CodigoPostal,Latitud,Longitud,IngresoMediano,DensidadPoblacional,ServicioTelefono,LineasMultiples,TipoInternet,SeguridadOnline,RespaldoOnline,ProteccionDispositivo,SoporteTecnico,StreamingTV,StreamingPeliculas,TipoContrato,FacturacionSinPapel,MetodoPago,Antiguedad,CargoMensual,SegmentoCliente,nivel_riesgo,score_riesgo,ratio_precio_ingreso,TipoDeQueja,TicketsSoporte,Escaladas,PuntuacionNPS,PuntuacionCSAT,TiempoResolucion,TasaAperturaEmail,TasaClicsMarketing,Cancelacion,tenure_group,income_bracket,has_queja,alto_tickets,servicios_premium_count,nps_categoria,csat_categoria,risk_flag,borough_risk,high_density_area,CustomerValueRatio,PriceIncomePercent,ServicioTelefono_Binary,LineasMultiples_Binary,SeguridadOnline_Binary,RespaldoOnline_Binary,ProteccionDispositivo_Binary,SoporteTecnico_Binary,StreamingTV_Binary,StreamingPeliculas_Binary,ServicesCount,EngagementScore,EstimatedLTV,AvgMonthlyValue,TenureGroup,PriceSegment,HighRisk_ContractTenure,MediumRisk_ContractTenure,IncomePriceMismatch,HighRiskSegment,Log_ChargesMonthly,Log_EstimatedLTV,Log_Tenure,Sqrt_Tenure,Sqrt_ServicesCount,Churn_Binary
0002-ORFBO,2025-04-15,Femenino,0,Si,Si,New York,NY,BROOKLYN,11250,40.726363407709975,-73.81071249506411,63000,14000,Si,No,DSL,No,Si,No,Si,Si,No,Un año,Si,Cheque por correo,9,65.6,PYME,Medio,6.0,0.012495238095238,,1,0,75.0,4.5,7.9,0.59,0.23,No,0-12 meses,Medium,0,0,2,Promotor,Satisfecho,0,26.39182522903453,1,0.012495238095238094,1.2495238095238095,1,0,0,1,0,1,1,0,4,0.5405405405405406,590.4,59.04,0-12_months,Standard,0,0,0,0,4.198704577546343,6.382492607418377,2.302585092994046,3.0,2.0,0
0003-MKNFE,2025-04-15,Masculino,0,No,No,New York,NY,STATEN ISLAND,10310,40.678021618445726,-73.80204202522333,82000,3200,Si,Si,DSL,No,No,No,No,No,Si,Mensual,No,Cheque por correo,9,59.9,Residencial,Alto,8.5,0.0087658536585365,Red,3,0,52.0,3.9,15.2,0.4,0.17,No,0-12 meses,High,1,0,0,Promotor,Satisfecho,0,26.58730158730159,0,0.008765853658536585,0.8765853658536585,1,1,0,0,0,0,0,1,3,0.4433497536945813,539.1,53.910000000000004,0-12_months,Standard,0,0,0,0,4.109233174715851,6.291754307598845,2.302585092994046,3.0,1.7320508075688772,0
0004-TLHLJ,2025-09-12,Masculino,0,No,No,New York,NY,QUEENS,11229,40.6381342463984,-74.08748348750338,72000,8500,Si,No,Fibra óptica,No,No,Si,No,No,No,Mensual,Si,Cheque electrónico,4,73.9,PYME,Alto,11.0,0.0123166666666666,Calidad,7,0,21.0,2.6,12.6,0.1,0.04,Si,0-12 meses,Medium,1,1,1,Promotor,Insatisfecho,0,24.60515378221114,0,0.012316666666666668,1.231666666666667,1,0,0,0,1,0,0,0,2,0.10680907877169558,295.6,59.120000000000005,0-12_months,Premium,0,0,0,0,4.316153890523174,5.692384429703832,1.6094379124341003,2.0,1.4142135623730951,1
0011-IGKFF,2024-12-16,Masculino,1,Si,No,New York,NY,QUEENS,11501,40.68332108396678,-73.80646834200998,72000,8500,Si,No,Fibra óptica,No,Si,Si,No,Si,Si,Mensual,Si,Cheque electrónico,13,98.0,PYME,Alto,9.5,0.0163333333333333,Servicio,7,1,13.0,1.5,44.4,0.3,0.14,Si,13-24 meses,Medium,1,1,2,Promotor,Insatisfecho,0,24.60515378221114,0,0.01633333333333333,1.633333333333333,1,0,0,1,1,0,1,1,5,0.6565656565656566,1274.0,91.0,12-24_months,Enterprise,0,0,0,0,4.59511985013459,7.150701457592526,2.6390573296152584,3.605551275463989,2.23606797749979,1
0013-EXCHZ,2025-10-12,Femenino,1,Si,No,New York,NY,MANHATTAN,10257,40.764546070630075,-73.96007759374963,85000,28000,Si,No,Fibra óptica,No,No,No,Si,Si,No,Mensual,Si,Cheque por correo,3,83.9,PYME,Alto,10.0,0.0118447058823529,Facturacion,7,0,0.0,1.2,10.0,0.15,0.06,Si,0-12 meses,High,1,1,1,Detractor,Insatisfecho,0,29.0176322418136,1,0.011844705882352943,1.1844705882352944,1,0,0,0,0,1,1,0,3,0.10600706713780918,251.70000000000002,62.925000000000004,0-12_months,Premium,0,0,0,0,4.441474093317302,5.532203014394149,1.3862943611198906,1.7320508075688772,1.7320508075688772,1
0013-MHZWF,2025-04-15,Femenino,0,No,Si,New York,NY,MANHATTAN,10025,40.793055524300016,-73.94067038838055,85000,28000,Si,No,DSL,No,No,No,Si,Si,Si,Mensual,Si,Tarjeta de crédito,9,69.4,Residencial,Medio,7.5,0.0097976470588235,,2,0,50.0,3.0,5.9,0.42,0.13,No,0-12 meses,High,0,0,1,Promotor,Neutral,0,29.0176322418136,1,0.00979764705882353,0.9797647058823531,1,0,0,0,0,1,1,1,4,0.5113636363636364,624.6,62.46,0-12_months,Standard,0,0,0,0,4.254193263163997,6.4387111892311015,2.302585092994046,3.0,2.0,0
0013-SMEOE,2020-03-12,Femenino,1,Si,No,New York,NY,MANHATTAN,10158,40.60908574817445,-74.15938626918856,85000,28000,Si,No,Fibra óptica,Si,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria,71,109.7,Corporativo,Medio,4.0,0.0154870588235294,,2,0,84.0,4.9,4.5,0.73,0.36,No,49+ meses,High,0,0,4,Promotor,Satisfecho,0,29.0176322418136,1,0.015487058823529413,1.5487058823529414,1,0,1,1,1,1,1,1,7,4.489611562782295,7788.7,108.17638888888888,48+_months,Enterprise,0,0,0,0,4.706823839714591,8.960557627211806,4.276666119016055,8.426149773176359,2.6457513110645907,0
0014-BMAQU,2020-11-07,Masculino,0,Si,No,New York,NY,BRONX,10467,40.62033098714456,-74.0289396527948,42000,13000,Si,Si,Fibra óptica,Si,No,No,Si,No,No,Dos años,Si,Tarjeta de crédito,63,84.65,Corporativo,Medio,5.0,0.0241857142857142,,2,0,60.0,2.8,6.2,0.26,0.11,No,49+ meses,Low,0,0,2,Promotor,Insatisfecho,0,25.660569105691057,0,0.024185714285714286,2.4185714285714286,1,1,1,0,0,1,0,0,4,2.942206654991243,5332.950000000001,83.32734375000001,48+_months,Premium,0,0,1,0,4.450269224770129,8.581847330869754,4.1588830833596715,7.937253933193772,2.0,0
0015-UOCOJ,2025-06-14,Femenino,1,No,No,New York,NY,QUEENS,11072,40.75160087645343,-73.97645328154913,72000,8500,Si,No,DSL,Si,No,No,No,No,No,Mensual,Si,Cheque electrónico,7,48.2,Residencial,Medio,7.5,0.0080333333333333,,2,0,84.0,4.7,32.2,0.79,0.37,No,0-12 meses,Medium,0,0,1,Promotor,Satisfecho,0,24.60515378221114,0,0.008033333333333333,0.8033333333333333,1,0,1,0,0,0,0,0,2,0.2845528455284553,337.40000000000003,42.175000000000004,0-12_months,Standard,0,0,0,0,3.8958936234982624,5.824228627732069,2.0794415416798357,2.6457513110645907,1.4142135623730951,0
0016-QLJIS,2020-09-08,Femenino,0,Si,Si,New York,NY,QUEENS,11452,40.67438174019098,-73.96311295640983,72000,8500,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,Si,Cheque por correo,65,90.45,Corporativo,Medio,4.0,0.015075,,1,0,64.0,3.0,2.3,0.27,0.13,No,49+ meses,Medium,0,0,4,Promotor,Neutral,0,24.60515378221114,0,0.015075,1.5075,1,1,1,1,1,1,1,1,8,5.686167304537999,5879.25,89.07954545454545,48+_months,Enterprise,0,0,0,0,4.515792374836875,8.679354556995653,4.189654742026425,8.06225774829855,2.8284271247461903,0
