Address Borough,Business Name,License Type,Latitude,Longitude
Queens,"GHOLAM, KHADIJA",Business,40.69949856993702,-73.8325824420042
Queens,KKC NYC INC,Business,40.72955921657337,-73.74440164278295
Queens,SEAMENS MOVING & DELIVERY INC.,Business,40.74272134929094,-73.9385463434223
Queens,E PLUS E CONTRACTING INC,Business,40.67144227190151,-73.74115642719178
Queens,J & R IMPORTS LTD,Business,40.683232967191294,-73.85475415011314
Queens,HOME DEPOT USA INC,Business,40.677250766154714,-73.82608759171914
Queens,82ND STREET LAUNDROMAT LLC,Business,40.755569839106464,-73.88516136762549
Queens,SIMPLE GEEK REPAIR INC,Business,40.75769905341219,-73.82923446033385
Queens,BUSINESS ONE INTERNATIONAL INC.,Business,40.76571562665383,-73.91885056275471
Queens,"GUYANA WEST INDIAN JEWELRY, INC.",Business,40.686770162704335,-73.82282120034354
Queens,"FANNWOOD ESTATES, LLC",Business,40.72843338542038,-73.85442111215961
Queens,7 SEVEN COMPLETE AUTO SERVICE INC.,Business,40.75988684411824,-73.84492022080724
Queens,"SHOP RITE PHARMACY, INC.",Business,40.68276245773776,-73.83554132999508
Queens,PRITHPAUL ROHAN,Business,40.68258084917179,-73.83522449244091
Queens,BANDE Automotive LLC,Business,40.68011219367737,-73.76238737140908
Queens,S & S RAINBOW CORP.,Business,40.767020000244216,-73.93258533729217
Queens,"KIRKPATRICK,ROY",Business,40.69495979024691,-73.74124904103563
Queens,"THE POINTE OF CONSTRUCTION, LLC",Business,40.56209234746306,-73.91251531775741
Queens,1. G & W RENOVATIONS INC.,Business,40.7550930552116,-73.83213230370299
Queens,M&N CONSTRUCTION INC.,Business,40.70511750773944,-73.81491335690497
Queens,MK CONTRACTING GROUP INC.,Business,40.73273888104098,-73.95033640322863
Queens,TAIWAN HENAN CONSTRUCTION CORP,Business,40.7331968246775,-73.87667723440661
Queens,"SUNNYSIDE PAINTING, INC.",Business,40.748947723119734,-73.9184956414315
Queens,"AL-SAIDI, MOHAMED K.A.",Business,40.694245343550975,-73.73725979823605
Queens,SOLAR STRING INC,Business,40.70150921886367,-73.81051978702567
Queens,WASHETERIA II CORP.,Business,40.7414999505461,-73.9206158418573
Queens,Liping An,Business,40.75139722157075,-73.82384397075892
Queens,MEDICAL SUPPLIES GROUP INC.,Business,40.68169635007091,-73.84664519536466
Queens,LINDEN MAINTENANCE CORP.,Business,40.76647527334688,-73.83385088285195
Queens,"ZEITOUN, YVONNE",Business,40.70608841574667,-73.90769523332534
Queens,"JOSE CONSTRUCTION, CORP.",Business,40.71148319410438,-73.76417647608746
Queens,"21ST CENTURY SHOWS, INC.",Business,40.73196600944787,-73.85892723622993
Queens,"FRESHTOUCH CONSTRUCTION, INC.",Business,40.72641631937879,-73.83058459829783
Queens,NEW YORK BUILDERS OF STAIRS INC.,Business,40.71860742317848,-73.91500825546412
Queens,"NATIONAL ACTION FINANCIAL SERVICES, INC.",Business,40.74444741407468,-73.95563630613543
Queens,HILLSIDE AVE PARKING LOT CORP,Business,40.71185782101704,-73.7874121237421
Queens,A.G.S. IMPROVEMENTS INC,Business,40.74146671177416,-73.79102018201097
Queens,BIG Z TOWING INC,Business,40.75523320477931,-73.90423786484
Queens,"GUERRIER,JR WALTHER",Business,40.597754310583376,-73.750599290095
Queens,"OVIEDO, RAMONA",Business,40.70418193879009,-73.7498007828183
Queens,PARSONS DRUG CORP.,Business,40.73082388061289,-73.81085497419318
Queens,Nepali Job Employment and Consultancy Inc.,Business,40.74616405805413,-73.89130919372695
Queens,Renovation Construction Group Corp.,Business,40.72587033200221,-73.8661883237702
Queens,ALL IN ONE ENTERTAINMENT INC,Business,40.69444683445273,-73.84948636908244
Queens,J & R MINI MARKET CORP.,Business,40.71875161669285,-73.75769697623497
Queens,SHANICE ARRINGTON,Business,40.68930658264862,-73.78731815234418
Queens,"CLUB RAFAEL, INC.",Business,40.71597376242406,-73.83333467013915
Queens,GAK CONSTRUCTION INC.,Business,40.70629421838264,-73.8323056854343
Queens,BLOCKBUSTER INC.,Business,40.76331469056077,-73.92819586194034
Queens,EIS ELECTRIC CORP.,Business,40.748482317595915,-73.94928164336224
Queens,STAIR AND RAILING SOLUTION INC,Business,40.69833510993175,-73.82006405033174
Queens,OLIWA CONSTRUCTION INC.,Business,40.70616907626797,-73.90902963309944
Queens,A2Z RESTORATION CORPORATION,Business,40.72765085443827,-73.82649003842977
Queens,TAVERAS LAUNDROMAT CORP.,Business,40.75006558708376,-73.85504153519614
Queens,ROYAL CONTRACTORS CORP.,Business,40.684912864623634,-73.84231463371269
Queens,"TAMO, INC.",Business,40.71721214463707,-73.74023194351987
Queens,"POP'S 30 MINUTE PHOTO, INC.",Business,40.70614773950052,-73.8967521598504
Queens,Micolosi Bros. Hardwood Flooring Inc,Business,40.72703080169629,-73.74050395182101
Queens,"KEW FOREST MAINTENANCE SUPPLY CO., INC.",Business,40.75141386050128,-73.90256866899209
Queens,KEARNEY STREET LAUNDROMAT INC.,Business,40.76195894489302,-73.86909752475746
Queens,CELLULAR WIFI,Business,40.69332066032979,-73.85310221946737
Queens,"CRUZ, AGUSTIN",Business,40.70335294090878,-73.89014552444203
Queens,BUY IT NOW INC.,Business,40.69219212930941,-73.83458050184596
Queens,"IONIAN GENERAL CONSTRUCTION, INC.",Business,40.71456156551987,-73.80615398373786
Queens,J.L. CLEANERS INC.,Business,40.76271744843457,-73.92148579594374
Queens,SNACK PARADISE 1 INC,Business,40.58522763480239,-73.81997637222797
Queens,PANJSHIR LEASING INC.,Business,40.73464829955242,-73.93718984091983
Queens,RCD 5 STAR INSTALLATION INC,Business,40.71822302282208,-73.75955312814705
Queens,FINESSE PAINT & COATINGS INC,Business,40.71466136598628,-73.78070089974068
Queens,"PERSAUD, OUDIT",Business,40.687598520092735,-73.82068437234813
Queens,K&C TIRE SHOP INC.,Business,40.73414086682058,-73.93782898847334
Queens,"CHARLES, ROGER",Business,40.6804990719582,-73.74316193738518
Queens,"SAUNDERS LAUNDROMAT, INC.",Business,40.7290797658265,-73.86222026204968
Queens,RP & SON CORP.,Business,40.75335266343589,-73.88854714478124
Queens,KARAKO OF QUEENS BLVD LTD.,Business,40.72837695786396,-73.85758544495911
Queens,"NEW YORK SIDING, INC.",Business,40.694314383005654,-73.80674656113753
Queens,ITTADI BAZAAR LLC,Business,40.74716401745759,-73.8922350773376
Queens,MOTSIOS CONSTRUCTION CORP.,Business,40.76860837939452,-73.91113210684466
Queens,DUMANI CONSTRUCTION INC.,Business,40.74035693506587,-73.93158024527926
Queens,SUNSHINE BUILDERS INC,Business,40.67500376451406,-73.81271850049592
Queens,CONSTRUCTION BY ALICE INC,Business,40.74459593908806,-73.95644459333987
Queens,"RITE AID OF NEW YORK, INC.",Business,40.678539878171655,-73.7791432151486
Queens,EXPRESS CANDY STORE INC,Business,40.74954780126021,-73.8696344100906
Queens,LANZO CONSTRUCTION AND HOME IMPROVEMENT LLC,Business,40.71422102330878,-73.81607485625346
Queens,"CHAU, KENNY",Business,40.76432377637396,-73.73443833183015
Queens,M & P EXCLUSIVE HOME IMPROVEMENT INC,Business,40.73644231552908,-73.79631868853593
Queens,"LEE, DO K",Business,40.75714669011701,-73.73226150274677
Queens,"CHOWDHURY, BASHITH H",Business,40.73244520417957,-73.84936084899297
Queens,BAYVIEW CONVENIENCE DELI CORP,Business,40.6091384885036,-73.75382337376853
Queens,RIGHT CHOICE CONSTRUCTION CORP.,Business,40.705289907496656,-73.89818897126156
Queens,"7 ELEVEN, INC.",Business,40.70042800894089,-73.90349791801137
Queens,"LIC LOT, LLC",Business,40.749356379588065,-73.9403917037878
Queens,"JTJ STUDIO, CORP.",Business,40.77190077976805,-73.92906391857525
Queens,East Empire Construction Inc,Business,40.65988675676186,-73.7486044949216
Queens,"LATE APPLIANCE REPAIR, INC.",Business,40.68655242549281,-73.85777212672588
Queens,ARS CONSTRUCTION INC,Business,40.68499523566622,-73.85485126968173
Queens,"ONE STOP CONVENIENCE STORE, INC.",Business,40.691224942908846,-73.86774351740993
Queens,"AUDOTRONIC OF QUEENS, INC.",Business,40.754536700407,-73.8047924066947
Queens,HILLSIDE AUTO PLAZA INC.,Business,40.70376907507092,-73.8231655403985
Queens,"NORTH AMERICAN CLEANING SERVICES, INC.",Business,40.69375288439283,-73.8175593435697
Queens,"MARQUEZ, JAVIER",Business,40.69306645325917,-73.89706450908778
Queens,PALTOO MERAUTIE,Business,40.70244733664128,-73.90923668056614
Queens,METROPOLITAN MARBLE & GRANITE INC.,Business,40.70973096924669,-73.90463507674801
Queens,ECOATM LLC,Business,40.665352372876114,-73.73073754756105
Queens,DISTINCTIVE RENOVATIONS AND DESIGNS HOME IMPROVEMENT LLC,Business,40.69193674835004,-73.8015211103762
Queens,"COLMONE, GASPARE",Business,40.730011704103646,-73.89788059457362
Queens,53 MINI MALL DISCOUNT INC,Business,40.74452609602265,-73.911290540425
Queens,Zale Contracting Inc,Business,40.69674368596849,-73.89930914935044
Queens,"MATOUB, DALILA",Business,40.761946657973546,-73.91083416155817
Queens,HOME DEPOT USA INC,Business,40.70567424928095,-73.79213867749392
Queens,CONSTANTIN MIHAI,Business,40.70755019115567,-73.91322974294216
Queens,"LAURELTON GREETING & GIFT, CORP.",Business,40.677551735034065,-73.74464783688008
Queens,"CAM CONSTRUCTION OF NY, INC.",Business,40.74243807983775,-73.91978471140557
Queens,79 DELI & GROCERY STORE CORP,Business,40.74908858017093,-73.887020405856
Queens,"FRANCISCO,VASQUEZ",Business,40.76727738144323,-73.812791153984
Queens,LEFFERTS WIRELESS & ELECTRONICS INC,Business,40.68604317924133,-73.82486396071972
Queens,PRIME CONSTRUCTION & RESTORATION CORP.,Business,40.75727210737126,-73.88568903756033
Queens,MA Annapuran 74 Inc,Business,40.74880912180077,-73.89330792706038
Queens,"ALSAIDI, SHUKRI K.",Business,40.58375915887608,-73.82351210945733
Queens,EXPERT BUILDING VIOLATION REMOVAL SERVICES CORP.,Business,40.68688398143955,-73.82545670108718
Queens,"Builder's Image Construction, INC.",Business,40.68970904601834,-73.8188000210791
Queens,"ALYAMENI, ABDO N",Business,40.67835185865528,-73.83192168187072
Queens,THE STOP & SHOP SUPERMARKET COMPANY LLC,Business,40.70536084164309,-73.85878156120818
Queens,MJ Pro Services Corp,Business,40.71594370636874,-73.88506370578739
Queens,SP PLUS CORPORATION,Business,40.76051227156397,-73.82913339470404
Queens,HARMEL CONSTRUCTION CORP.,Business,40.72962039112083,-73.82210472252636
Queens,HARMONY 20 CORP,Business,40.76342298869796,-73.77269603939106
