Address Borough,Business Name,License Type,Latitude,Longitude
Queens,THE GARDENS 75TH STREET OWNERS CORP.,Business,40.75074488262595,-73.89113569640881
Brooklyn,"JALIL, MOHAMMED ABDUL",Business,40.6501225946322,-73.96073707845565
Brooklyn,SING WAH LAUNDROMAT INC.,Business,40.63439650603149,-74.02362065616948
Manhattan,DCB DELANCEY CORPORATION,Business,40.720241568328824,-73.99382027141543
Bronx,MD BROADWAY ELECTRONICS LLC,Business,40.85520587133494,-73.90607848934312
Manhattan,L & F Group Inc,Business,40.71813094517476,-73.9960137864345
Bronx,MD BROADWAY ELECTRONICS LLC,Business,40.84982178304856,-73.9108248022589
Brooklyn,POLAND EMPLOYMENT AGENCY INC.,Business,40.729295686168165,-73.9538784546537
Queens,SINBAD INTERNATIONAL INC.,Business,40.747453438223395,-73.91689867261931
Manhattan,"F. J. SCIAME CONSTRUCTION CO., INC.",Business,40.70555169055625,-74.00426318129169
Brooklyn,AVENUE D CELLULAR INC,Business,40.6467098637637,-73.92985647239898
Brooklyn,2474 QUAD VENTURES INC.,Business,40.61011182394454,-73.9228393973037
Manhattan,IL RIFUGIO INC.,Business,40.784380716447735,-73.97369731189198
Manhattan,"JASANI, MUNIRA",Business,40.75738784087671,-73.98225540711462
Manhattan,ARC. Construction & Contracting Corp.,Business,40.82835528024121,-73.94042933518563
Queens,ON POINT MOBILE CORP,Business,40.7107971274873,-73.79276836367801
Manhattan,"PATEL, HANSA M",Business,40.70694026781641,-74.0090062482607
Brooklyn,RED PLANET INC.,Business,40.61018878277326,-73.98416016244268
Staten Island,"PYUN, KISUN",Business,40.62458752996328,-74.13657697953764
Brooklyn,STARBUCKS CORPORATION,Business,40.63196099847803,-74.02757564142522
Brooklyn,"GM INTERNET CAFE, INC.",Business,40.576632425316525,-73.9660215747078
Manhattan,OLSEN NEWS CORP.,Business,40.75431708865135,-73.98686541972873
Manhattan,301 PARK CORP.,Business,40.763591451944784,-73.96170261902068
Manhattan,"JUAN, CARLOS  FELIZ",Business,40.80681061648388,-73.94317585886598
Brooklyn,ALB TECH CONTRUCTION INC,Business,40.60758398675019,-73.98426522279388
Bronx,YAEL A ROSARIO AND MELVIN A GRULLART,Business,40.827318719294674,-73.88674304216549
Queens,MOM ELECTRONICES INC,Business,40.70421122719191,-73.79671652193313
Brooklyn,WARRANTY LOGISTICS LLC,Business,40.652684611812326,-73.87682966513736
Queens,"ASTORIA BRICK, LLC",Business,40.76403218686632,-73.92149507584305
Manhattan,"SYLVIA WOODS, INC.",Business,40.808735443222886,-73.94477087182707
Bronx,"SPECTRUM WIRELESS, INC.",Business,40.86812319354234,-73.90044164590107
Bronx,TOP NOTCH SOUND & SECURITY LLC,Business,40.858498143050895,-73.88625614034004
Manhattan,141 BROADWAY WIRELESS INC,Business,40.824177774721214,-73.952107268642
Queens,MARGARITAS MEXICAN DELI CORP.,Business,40.7481555163397,-73.87906039716577
Brooklyn,CYBERXPRESS CORP.,Business,40.68425508536598,-74.00255997633951
Brooklyn,MARRERO CONSTRUCTION CORP.,Business,40.57751297611882,-74.00390222456761
Brooklyn,"ALI, SALEM M.",Business,40.680969597072355,-73.94967911066585
Brooklyn,DOLPHIN TRANSMISSIONS INC,Business,40.63795077081008,-73.90951897350581
Queens,"PARTS ARE US, INC.",Business,40.7130562459018,-73.91703173631379
Bronx,ECOATM LLC,Business,40.871932794128256,-73.87757336531755
Manhattan,MOBITEL NEW YORK INC,Business,40.864009079245974,-73.92627946650808
Brooklyn,YUKI WIRELESS INC,Business,40.63930098457214,-74.0056137411089
Manhattan,"PATEL, DAKSHA",Business,40.74753497330908,-73.98830675798419
Queens,ASTORIA CENTER INC,Business,40.76820158202948,-73.9069268281986
Brooklyn,VAPE MADE EASIER CORP,Business,40.585762037412096,-73.95178861038603
Bronx,PRIMAVERA DELI GROCERY CORP,Business,40.85330096084688,-73.90597273624344
Queens,"DOOKHAN, HAROLD",Business,40.675896079942085,-73.8503934722929
Brooklyn,"ALMARDAHI, NABIL H",Business,40.59962213875259,-73.94914985006353
Queens,ECOATM LLC,Business,40.712568066169254,-73.78411292997198
Staten Island,"TCC WIRELESS, INC.",Business,40.52804138704568,-74.23644971345792
Manhattan,CHAMPION PARKING 90 LLC,Business,40.78314855020369,-73.95633632244923
Brooklyn,82ND DELI & GROCERY INC,Business,40.6248060156775,-74.02456108800804
Brooklyn,SHORTY WIRELESS INC,Business,40.69057865714175,-73.92397590625733
Manhattan,POLY ORGANIC CORP.,Business,40.784148421583325,-73.97856143414334
Brooklyn,Tony Phone Repair Inc.,Business,40.62460274155243,-74.00297196181175
Bronx,"JIRR COMMUNICATIONS, INC",Business,40.865414272365214,-73.86774779049907
Manhattan,QUIK PARK 801 GARAGE LLC,Business,40.796198304413394,-73.96878800335192
Manhattan,CHIVIAN GARAGE CORP.,Business,40.73622169024869,-73.99822826944903
Queens,"FLEUR, RONY ST",Business,40.70729121951161,-73.7892842185725
Manhattan,MERIT FRUITS & VEGGIES CORP,Business,40.76396505017934,-73.98861432617119
Brooklyn,SP PLUS CORPORATION,Business,40.69414879727936,-73.98329277406647
Manhattan,PRESBYTERIAN 164 DELI CORP.,Business,40.83760200533997,-73.94001991132355
Brooklyn,ECOATM LLC,Business,40.63447886148492,-74.02356303874014
Bronx,ECOATM LLC,Business,40.82474229806576,-73.89952737044254
Brooklyn,TRIANGLE DELI CORP,Business,40.69004555608467,-73.92304979393646
Manhattan,SP PLUS CORPORATION,Business,40.83994859762669,-73.93976119883386
Brooklyn,SP PLUS CORPORATION,Business,40.68986363852689,-73.97972039707659
Staten Island,CHURCH OF SAINT ANN,Business,40.590671846301134,-74.0970059712258
Bronx,SPRINT SPECTRUM L.P.,Business,40.86184999236685,-73.89257706311088
Bronx,BRONX PARK EAST APPLIANCES LLC,Business,40.84888862643277,-73.86793607219442
Manhattan,"KINNEY SYSTEM, INC.",Business,40.75634315951697,-73.99168370614345
Manhattan,"GOHEL, JAYABEN P",Business,40.715998116846144,-74.00709559383127
Queens,"BEDOYA'S LAUNDROMAT, INC.",Business,40.77192563388538,-73.92496975704948
Staten Island,LUCKY SIGNS MARKET INC.,Business,40.61392171772029,-74.07277080699552
Brooklyn,CLEAR WIRELESS & MORE INC,Business,40.68354504475403,-73.87259020764412
Manhattan,80 EAST END GARAGE LLC,Business,40.77313416052005,-73.9460965359417
Brooklyn,"WILD LIVING, LLC",Business,40.67822023185862,-73.97924804150433
Manhattan,1350 6th AVENUE GARAGE LLC,Business,40.76273118749094,-73.97834090743741
Staten Island,HARTY LLC,Business,40.62745960746139,-74.07612511652907
Manhattan,UNCLE ABIES DELI ON FIRST INC.,Business,40.769654765206866,-73.95463753329575
Brooklyn,FIRST CHOICE TOWING INC.,Business,40.59481321865377,-73.97352713242672
Queens,SP PLUS CORPORATION,Business,40.74348492471856,-73.95808732655165
Queens,GENERATION JEWELERS LLC,Business,40.72039876792679,-73.84545944272007
Queens,YUMZE INC,Business,40.60072860546472,-73.75391920147489
Queens,MUALLA DELI CORP,Business,40.58754705395587,-73.81145520439269
Brooklyn,86 Best Deal Inc,Business,40.60169179571753,-73.99337750022465
Queens,"Long River Cleaner, Inc",Business,40.76122269570272,-73.94191523546534
Brooklyn,ACCESS BROKER CORP.,Business,40.6976750531505,-73.92576376534613
Manhattan,"NEW 12TH STREET GARAGE, LLC",Business,40.73428366340385,-73.99249472023192
Manhattan,STEELE ANN,Business,40.75811544651081,-73.98394811504467
Queens,PHILLIES PIZZERIA II INC.,Business,40.72207046435732,-73.88551491874715
Queens,"BRENES, ELENA MARIA",Business,40.707748843213686,-73.78738194530145
Manhattan,FIX AND MORE INC,Business,40.79470684595277,-73.94415048307654
Queens,"SILVER STAR AUTO RESOURCES, LLC",Business,40.7520635998125,-73.92759080395126
Queens,SP PLUS CORPORATION,Business,40.779172099307246,-73.78106977275347
Brooklyn,LUCY DELI GROCERY CORP,Business,40.68675632878457,-73.87499991717529
Queens,"G.V.S. BAKERY, INC.",Business,40.77421615178975,-73.90797629064107
Queens,A & M DELI & GRILL INC,Business,40.70210984823282,-73.82049747055868
Manhattan,SP PLUS CORPORATION,Business,40.73908439642786,-73.99559393900273
Brooklyn,5TH AVENUE GOURMET DELI GRILL INC,Business,40.63333202213688,-74.02108027065543
Bronx,"TCC WIRELESS, INC.",Business,40.81903205538226,-73.92710245316007
Queens,"CARPIO, INGRID M",Business,40.747459456155255,-73.88551459652734
Queens,"R.K. VIDEO DUB, INC.",Business,40.74479158199732,-73.91031578971264
Manhattan,"RAJMAR HOLDINGS, INC.",Business,40.73865891284488,-74.00549942185195
Manhattan,ECOATM LLC,Business,40.86156811064303,-73.92483608640185
Manhattan,SP PLUS CORPORATION,Business,40.75555567053095,-73.96428439365002
Queens,"USA 88 FORTUNE, INC",Business,40.75330745013604,-73.86431049126128
Queens,GRACE BARZ LTD,Business,40.76117636400935,-73.92366069160519
Staten Island,COSTCO WHOLESALE CORPORATION,Business,40.57256744218837,-74.16995748077599
Queens,"SN Variety Center, Inc",Business,40.679425221800614,-73.86310520936372
Brooklyn,BROOKLYN SMOKE SHOP INC,Business,40.68151599233076,-73.97561632523751
Queens,CARIBREEZE LLC,Business,40.662048200963085,-73.76345013967895
Bronx,ECOATM LLC,Business,40.86354473742925,-73.86740443719899
Bronx,JONATHAN SERVICES,Business,40.89962214007429,-73.84622197129207
Queens,SAMMY TOBACCO INC,Business,40.70720407996868,-73.78966321350295
Brooklyn,"BECKFORD, ANNABELLE M",Business,40.66135183241761,-73.94777999272682
Queens,SP PLUS CORPORATION,Business,40.779082373059005,-73.78151780031351
Bronx,BISMILAH UNIDOS INC,Business,40.84438989086224,-73.90384567687367
Queens,QB 71ST AVENUE PARKING LLC,Business,40.721762832916845,-73.84336745879631
Manhattan,"NATIONWIDE COURT SERVICES, INC.",Business,40.711842369677385,-74.00956240289848
Queens,"TCC WIRELESS, INC.",Business,40.71291652545411,-73.87736765151445
Manhattan,BIG APPLE FORTUNES INC.,Business,40.7506881676495,-73.98397516909118
Bronx,COMMERCE AVE AUTO REPAIR INC,Business,40.8361675089542,-73.84022150119114
Brooklyn,BH LA RESTAURANT EQUIPMENT INC,Business,40.680680738989984,-73.96231628255165
Staten Island,FAST STOP DELI & GROCERY CORP,Business,40.625423537081446,-74.14857477228026
