cliente_id,genero,edad,pais,ciudad,segmento_cliente,es_mayor,tiene_pareja,tiene_dependientes,latitud,longitud,borough,codigo_postal,estado,fecha_registro,ingreso_mediano,densidad_poblacional,tipo_contrato,antiguedad,cargo_mensual,ingresos_totales,metodo_pago,canal_registro,errores_pago,descuento_aplicado,aumento_precio_3m,facturacion_sin_papel,servicio_telefono,lineas_multiples,tipo_internet,seguridad_online,respaldo_online,proteccion_dispositivo,soporte_tecnico,streaming_tv,streaming_peliculas,nivel_riesgo,score_riesgo,conexiones_mensuales,dias_activos_semanales,promedio_conexion,caracteristicas_usadas,tasa_crecimiento_uso,dias_ultima_conexion,tickets_soporte,tiempo_resolucion,tipo_queja,escaladas,puntuacion_csat,puntuacion_nps,tasa_apertura_email,tasa_clics_marketing,respuesta_encuesta,referencias_hechas,cancelacion,fecha_ultimo_pago,intentos_cobro_fallidos,dias_mora,cambio_plan_reciente,downgrade_reciente,visitas_app_mensual,tiempo_sesion_promedio,features_nuevas_usadas,ultimo_contacto_soporte,competidores_area,ofertas_recibidas,precio_vs_mercado
0002-ORFBO,Femenino,36.0,USA,New York,PYME,0,Si,Si,40.726363407709975,-73.81071249506411,BROOKLYN,11250,NY,2025-04-15,63000.0,14000.0,Un año,9,91.06,819.54,Cheque por correo,Web,0,No,No,Si,Si,No,DSL,No,Si,No,Si,Si,No,Low,0.0,82,7,104.31,7,-3.48,8.0,1,7.9,Ninguna,0,4.5,75.0,0.59,0.23,Neutral,2.0,0,2025-11-22,2,0,1,0,66,11.51,3,2025-11-27,4,0,Competitivo
0003-MKNFE,Masculino,45.0,USA,New York,Residencial,0,No,No,40.678021618445726,-73.80204202522333,STATEN ISLAND,10310,NY,2025-04-15,82000.0,3200.0,Mensual,9,66.53,598.77,Cheque por correo,Web,1,No,No,No,Si,Si,DSL,No,No,No,No,No,Si,Low,0.322,117,5,76.3,11,1.1,7.0,3,15.2,Red,0,3.9,52.0,0.4,0.17,Satisfecho,0.0,0,2025-11-09,1,0,0,0,51,20.17,6,2025-11-10,1,2,Alto
0004-TLHLJ,Masculino,36.0,USA,New York,PYME,0,No,No,40.6381342463984,-74.08748348750338,QUEENS,11229,NY,2025-09-12,72000.0,8500.0,Mensual,4,91.49,365.96,Cheque electrónico,Web,0,15%,No,Si,Si,No,Fibra óptica,No,No,Si,No,No,No,Alto,11.0,16,3,38.1,4,-1.67,11.0,7,12.6,Calidad,0,2.6,21.0,0.1,0.04,Insatisfecho,0.0,1,2025-12-02,0,0,0,0,5,109.44,5,2025-10-29,6,2,Competitivo
0011-IGKFF,Masculino,45.0,USA,New York,PYME,1,Si,No,40.68332108396678,-73.80646834200998,QUEENS,11501,NY,2024-12-16,72000.0,8500.0,Mensual,13,121.46,1578.98,Cheque electrónico,Web,2,25%,Si,Si,Si,No,Fibra óptica,No,Si,Si,No,Si,Si,Alto,9.5,18,3,40.6,1,0.7,0.0,7,44.4,Servicio,1,1.5,13.0,0.3,0.14,Sin Respuesta,0.0,1,2025-12-16,2,0,0,0,9,90.94,0,2025-11-14,2,3,Competitivo
0013-EXCHZ,Femenino,48.0,USA,New York,PYME,1,Si,No,40.764546070630075,-73.96007759374963,MANHATTAN,10257,NY,2025-10-12,85000.0,28000.0,Mensual,3,142.89,428.67,Cheque por correo,Web,1,10%,No,Si,Si,No,Fibra óptica,No,No,No,Si,Si,No,Alto,10.0,20,1,44.92,4,-13.73,32.0,7,10.0,Facturacion,0,1.2,0.0,0.15,0.06,Insatisfecho,0.0,1,2025-11-18,2,0,0,0,37,113.28,8,2025-08-12,1,0,Alto
0013-MHZWF,Femenino,28.0,USA,New York,Residencial,0,No,Si,40.793055524300016,-73.94067038838055,MANHATTAN,10025,NY,2025-04-15,85000.0,28000.0,Mensual,9,91.59,824.3100000000001,Tarjeta de crédito,Web,0,No,No,Si,Si,No,DSL,No,No,No,Si,Si,Si,Low,0.177,137,7,50.11,6,-4.43,2.0,2,5.9,Ninguna,0,3.0,50.0,0.42,0.13,Muy satisfecho,0.0,0,2025-12-23,1,0,0,0,76,53.73,4,2025-11-09,1,1,Competitivo
0013-SMEOE,Femenino,37.0,USA,New York,Corporativo,1,Si,No,40.60908574817445,-74.15938626918856,MANHATTAN,10158,NY,2020-03-12,85000.0,28000.0,Dos años,71,152.52,10828.92,Transferencia bancaria,Web,0,No,No,Si,Si,No,Fibra óptica,Si,Si,Si,Si,Si,Si,Low,0.0,121,4,104.72,7,4.35,1.0,2,4.5,Ninguna,0,4.9,84.0,0.73,0.36,Satisfecho,0.0,0,2025-12-10,1,0,0,1,11,74.14,9,2025-09-29,2,2,Bajo
0014-BMAQU,Masculino,56.0,USA,New York,Corporativo,0,Si,No,40.62033098714456,-74.0289396527948,BRONX,10467,NY,2020-11-07,42000.0,13000.0,Dos años,63,138.66,8735.58,Tarjeta de crédito,Web,0,No,No,Si,Si,Si,Fibra óptica,Si,No,No,Si,No,No,Low,0.295,113,5,50.23,7,14.35,1.0,2,6.2,Ninguna,0,2.8,60.0,0.26,0.11,Satisfecho,1.0,0,2025-11-22,1,0,0,0,45,60.62,10,2025-11-09,4,0,Competitivo
0015-UOCOJ,Femenino,19.0,USA,New York,Residencial,1,No,No,40.75160087645343,-73.97645328154913,QUEENS,11072,NY,2025-06-14,72000.0,8500.0,Mensual,7,47.3,331.09999999999997,Cheque electrónico,Web,0,No,No,Si,Si,No,DSL,Si,No,No,No,No,No,Low,0.0,122,5,68.61,7,10.36,9.0,2,32.2,Ninguna,0,4.7,84.0,0.79,0.37,Muy satisfecho,1.0,0,2025-11-03,1,30,0,1,48,106.36,1,2025-07-13,1,0,Alto
0016-QLJIS,Femenino,62.0,USA,New York,Corporativo,0,Si,Si,40.67438174019098,-73.96311295640983,QUEENS,11452,NY,2020-09-08,72000.0,8500.0,Dos años,65,108.23,7034.95,Cheque por correo,Web,0,No,No,Si,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Low,0.208,69,4,93.47,5,-4.75,1.0,1,2.3,Ninguna,0,3.0,64.0,0.27,0.13,Neutral,0.0,0,2025-12-12,0,0,1,0,90,119.01,4,2025-09-16,2,3,Bajo
