CustomerID,City,State,Borough,ZipCode,Latitude,Longitude,MedianIncome,PopulationDensity,RegistrationDate,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,ChargesMonthly,ChargesTotal,Churn
0002-ORFBO,New York,NY,STATEN ISLAND,10310,40.645192676271066,-74.10820561334204,82200,8618,2023-11-30,Female,0,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,65.6,593.3,No
0003-MKNFE,New York,NY,BRONX,10467,40.87671687372561,-73.8802621227146,40500,34920,2021-08-05,Male,0,No,No,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,59.9,542.4,No
0004-TLHLJ,New York,NY,QUEENS,11105,40.77193918151172,-73.90944523907211,69300,21460,2021-11-25,Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.9,280.85,Yes
0011-IGKFF,New York,NY,BROOKLYN,11205,40.68959042924661,-73.9725916373827,62800,37137,2024-10-03,Male,1,Yes,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.0,1237.85,Yes
0013-EXCHZ,New York,NY,BRONX,10455,40.812533530739486,-73.90573049064503,40500,34920,2024-12-13,Female,1,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,83.9,267.4,Yes
0013-MHZWF,New York,NY,MANHATTAN,10040,40.86083105824889,-73.92681442000556,86553,74781,2024-03-29,Female,0,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.4,571.45,No
0013-SMEOE,New York,NY,MANHATTAN,10033,40.85132124535383,-73.93225771416616,86553,74781,2021-11-23,Female,1,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.7,7904.25,No
0014-BMAQU,New York,NY,BROOKLYN,11217,40.68567632341359,-73.98842577574975,62800,37137,2020-03-20,Male,0,Yes,No,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),84.65,5377.8,No
0015-UOCOJ,New York,NY,QUEENS,11368,40.74099878113499,-73.86562746466261,69300,21460,2024-08-26,Female,1,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.2,340.35,No
0016-QLJIS,New York,NY,QUEENS,11101,40.7579238447464,-73.93731227650946,69300,21460,2025-07-18,Female,0,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.45,5957.9,No
0017-DINOC,New York,NY,MANHATTAN,10009,40.7228227781989,-73.97978973693624,86553,74781,2024-10-17,Male,0,No,No,54,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),45.2,2460.55,No
0017-IUDMW,New York,NY,BRONX,10457,40.844602369855565,-73.90521880132792,40500,34920,2021-10-10,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.8,8456.75,No
0018-NYROU,New York,NY,BROOKLYN,11224,40.5748872047701,-73.97963291619756,62800,37137,2025-05-12,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.95,351.5,No
0019-EFAEP,New York,NY,MANHATTAN,10024,40.78622020995933,-73.97609437046714,86553,74781,2023-10-21,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),101.3,7261.25,No
0019-GFNTW,New York,NY,MANHATTAN,10022,40.76051195589383,-73.97154090040742,86553,74781,2024-07-07,Female,0,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),45.05,2560.1,No
0020-INWCK,New York,NY,MANHATTAN,10019,40.7628129973505,-73.97567319925814,86553,74781,2023-04-29,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),95.75,6849.4,No
0020-JDNXP,New York,NY,STATEN ISLAND,10302,40.625956943420086,-74.1344507306987,82200,8618,2022-02-24,Female,0,Yes,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,61.25,1993.2,No
0021-IKXGC,New York,NY,QUEENS,11105,40.77498788055509,-73.91207676927651,69300,21460,2024-12-25,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.1,72.1,No
0022-TCJCI,New York,NY,BROOKLYN,11235,40.59051832228948,-73.95071581619347,62800,37137,2023-06-11,Male,1,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),62.7,2791.5,Yes
0023-HGHWL,New York,NY,BRONX,10462,40.836221616211674,-73.85631380803477,40500,34920,2024-02-08,Male,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.1,25.1,Yes
0023-UYUPN,New York,NY,QUEENS,11411,40.69278668187975,-73.74036677324199,69300,21460,2024-04-02,Female,1,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.2,1306.3,No
0023-XUOPT,New York,NY,BRONX,10466,40.88756669344032,-73.8519207382721,40500,34920,2020-01-13,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,94.1,1215.6,Yes
0027-KWYKW,New York,NY,STATEN ISLAND,10302,40.63227425545382,-74.13312321777185,82200,8618,2020-04-11,Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.75,1849.95,No
0030-FNXPP,New York,NY,STATEN ISLAND,10309,40.545078255203585,-74.2082253133294,82200,8618,2021-07-05,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,57.2,No
0031-PVLZI,New York,NY,BROOKLYN,11210,40.622020882842904,-73.94580791894076,62800,37137,2020-12-28,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,76.35,Yes
0032-PGELS,New York,NY,QUEENS,11361,40.766752268186806,-73.78259795171651,69300,21460,2022-04-21,Female,0,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.5,30.5,Yes
0036-IHMOT,New York,NY,MANHATTAN,10003,40.727484768774985,-73.99063378919234,86553,74781,2021-11-22,Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.7,5656.75,No
0040-HALCW,New York,NY,QUEENS,11373,40.74385255406054,-73.89086186118463,69300,21460,2022-09-26,Male,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.4,1090.6,No
0042-JVWOJ,New York,NY,QUEENS,11362,40.75489360165928,-73.72426842724703,69300,21460,2023-01-11,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.6,471.85,No
0042-RLHYP,New York,NY,MANHATTAN,10038,40.70817283755487,-74.006463554382,86553,74781,2022-10-25,Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.7,1396.9,No
0048-LUMLS,New York,NY,QUEENS,11694,40.5793790758969,-73.836940680569,69300,21460,2024-05-09,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,No
0048-PIHNL,New York,NY,MANHATTAN,10002,40.7199778891303,-73.9910461029314,86553,74781,2025-07-06,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.45,900.9,No
0052-DCKON,New York,NY,MANHATTAN,10016,40.74250854721353,-73.98215110741806,86553,74781,2022-04-16,Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),115.8,7942.15,No
0052-YNYOT,New York,NY,BROOKLYN,11220,40.64320694103645,-74.00154945441659,62800,37137,2024-02-09,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.55,1343.4,No
0056-EPFBG,New York,NY,BRONX,10466,40.88850337799015,-73.8421282886058,40500,34920,2020-08-01,Male,0,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),39.4,825.4,No
0057-QBUQH,New York,NY,BROOKLYN,11223,40.5947696191593,-73.97494225178694,62800,37137,2023-01-17,Female,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1,1070.15,No
0058-EVZWM,New York,NY,STATEN ISLAND,10314,40.59976382287843,-74.1267853836562,82200,8618,2023-06-19,Female,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,No
0060-FUALY,New York,NY,MANHATTAN,10003,40.732270559836905,-73.98176777251228,86553,74781,2022-02-08,Female,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.75,5597.65,No
0064-SUDOG,New York,NY,QUEENS,11435,40.68954413402649,-73.80360522829064,69300,21460,2022-10-27,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,224.5,No
0064-YIJGF,New York,NY,STATEN ISLAND,10309,40.52103910714779,-74.2365616241953,82200,8618,2024-08-08,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75,1929.0,No
0067-DKWBL,New York,NY,BRONX,10466,40.89174385872114,-73.85828072283302,40500,34920,2024-11-12,Male,1,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.25,91.1,Yes
0068-FIGTF,New York,NY,QUEENS,11432,40.70552796709256,-73.7947468219003,69300,21460,2024-01-07,Female,0,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,78.2,2078.95,No
0071-NDAFP,New York,NY,MANHATTAN,10031,40.824893917602445,-73.95156115675033,86553,74781,2022-01-30,Male,0,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.5,630.6,No
0074-HDKDG,New York,NY,BROOKLYN,11224,40.57751297611882,-74.00390222456761,62800,37137,2021-02-20,Male,0,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),61.6,1611.0,No
0076-LVEPS,New York,NY,STATEN ISLAND,10303,40.625219063373905,-74.14962262029006,82200,8618,2020-01-26,Male,0,No,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,45.0,1242.45,No
0078-XZMHT,New York,NY,QUEENS,11103,40.76067369807824,-73.90810690287353,69300,21460,2020-12-06,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,6316.2,No
0080-EMYVY,New York,NY,STATEN ISLAND,10301,40.63825604237853,-74.07845423688966,82200,8618,2022-01-20,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),51.45,727.85,No
0080-OROZO,New York,NY,QUEENS,11378,40.721137507938494,-73.90714407357372,69300,21460,2023-03-10,Female,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25,3532.0,No
0082-LDZUE,New York,NY,QUEENS,11375,40.72672979916975,-73.84873877739842,69300,21460,2024-06-25,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.3,44.3,No
0082-OQIQY,New York,NY,MANHATTAN,10029,40.79492942672791,-73.94468481246335,86553,74781,2022-06-05,Male,0,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,2607.6,No
0083-PIVIK,New York,NY,BRONX,10454,40.8067277921002,-73.9193496210902,40500,34920,2025-03-25,Male,0,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,81.25,5567.55,No
0089-IIQKO,New York,NY,BROOKLYN,11232,40.66445152698825,-73.99717404846935,62800,37137,2025-07-07,Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.95,3767.4,No
0093-EXYQL,New York,NY,BROOKLYN,11211,40.70750913753174,-73.95053554304064,62800,37137,2023-09-14,Female,1,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.55,3673.6,No
0093-XWZFY,New York,NY,QUEENS,11436,40.673457363961056,-73.79134864400667,69300,21460,2025-05-02,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,4036.85,Yes
0094-OIFMO,New York,NY,BROOKLYN,11209,40.613555125850176,-74.0350885589971,62800,37137,2020-01-30,Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes
0096-BXERS,New York,NY,BROOKLYN,11219,40.629153514200326,-74.00541114063557,62800,37137,2022-04-10,Female,0,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,50.35,314.55,No
0096-FCPUF,New York,NY,MANHATTAN,10002,40.71709874132075,-73.99251829963242,86553,74781,2023-09-27,Male,0,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,64.5,1888.45,No
0098-BOWSO,New York,NY,MANHATTAN,10003,40.72908754611497,-73.98883676684805,86553,74781,2023-07-19,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.4,529.8,No
0100-DUVFC,New York,NY,MANHATTAN,10011,40.74671212774635,-74.00182614424797,86553,74781,2024-01-11,Male,1,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.8,7308.95,No
0103-CSITQ,New York,NY,STATEN ISLAND,10310,40.63706788265281,-74.11684697416655,82200,8618,2023-07-28,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.4,6252.7,No
0104-PPXDV,New York,NY,STATEN ISLAND,10314,40.6165822914612,-74.11532351005977,82200,8618,2025-04-17,Male,0,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),50.3,2878.55,No
0106-GHRQR,New York,NY,STATEN ISLAND,10302,40.637872953580995,-74.12889714318501,82200,8618,2021-01-14,Male,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,No
0106-UGRDO,New York,NY,BROOKLYN,11219,40.63217280398,-73.99508219631475,62800,37137,2021-03-25,Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,116.0,8182.85,No
0107-WESLM,New York,NY,BRONX,10458,40.86003662574394,-73.89352715696441,40500,34920,2025-09-25,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.85,19.85,Yes
0107-YHINA,New York,NY,BRONX,10454,40.80869476194053,-73.92188671484033,40500,34920,2022-05-29,Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,99.75,Yes
