cliente_id,genero,edad,pais,ciudad,segmento_de_cliente,meses_permanencia,canal_de_registro,tipo_contrato,conecciones_mensuales,dias_activos_semanales,promedio_coneccion,caracteristicas_usadas,tasa_crecimiento_uso,ultima_coneccion,cuota_mensual,ingresos_totales,metodo_de_pago,errores_de_pago,descuento_aplicado,aumento_ultimos_3_meses,tickets_de_soporte,tiempo_promedio_de_resolucion,tipo_de_queja,puntuacion_csates,escaladas,tasa_apertura_email,tasa_clics_marketing,puntuacion_nps,respuesta_de_la_encuesta,recuento_de_referencias,abandonar
CUST_00001,Masculino,68,Banglades,Londres,SME,22,Web,Mensual,26,7,11.76237198882082,5,0.06,7,30,660,PayPal,1,1,0,4,13.354359704932143,Servicio,4.0,0,0.71,0.4,27,Satisfecho,1,0
CUST_00002,Femenino,57,Canada,Sydney,Individual,9,Mobile,Mensual,7,5,26.84638960973137,1,-0.28,2,30,270,Tarjeta,1,0,1,1,25.14008841258968,Facturacion,2.0,0,0.78,0.33,-19,Neutral,2,1
CUST_00003,Masculino,24,Alemania,New York,SME,58,Web,Anual,19,5,23.38006497233134,6,0.13,23,20,1160,Tarjeta,2,0,0,1,27.57292845215133,Servicio,3.0,0,0.35,0.49,80,Neutral,1,0
CUST_00004,Masculino,49,Australia,Dhaka,Individual,19,Mobile,Anual,34,7,24.243136266362708,2,-0.17,24,30,570,Transferencia Bancarias,0,1,0,3,26.420822304921717,Tecnico,5.0,1,0.83,0.15,100,Neutral,0,0
CUST_00005,Masculino,65,Banglades,Delhi,Individual,52,Web,Mensual,20,6,18.87232291164992,2,-0.16,2,50,2600,PayPal,0,0,0,0,26.674579176744228,Tecnico,4.0,0,0.65,0.44,21,Insatisfecho,1,0
CUST_00006,Femenino,36,India,Londres,Individual,54,Mobile,Mensual,1,3,20.93823726581249,2,-0.15,20,50,2700,Tarjeta,0,0,0,0,36.03839117141806,Tecnico,4.0,1,0.83,0.05,-40,Neutral,1,0
CUST_00007,Masculino,23,India,Toronto,SME,54,Mobile,Mensual,21,4,17.544416359634237,6,0.23,13,20,1080,Tarjeta,0,0,0,1,36.89292842033735,Facturacion,4.0,0,0.75,0.46,-3,Neutral,1,0
CUST_00008,Masculino,37,Banglades,Sydney,Individual,7,Referral,Anual,17,7,26.18874573958236,8,0.22,7,20,140,Tarjeta,0,1,0,2,25.02413250808525,Tecnico,4.0,1,0.54,0.13,28,Satisfecho,1,0
CUST_00009,Masculino,44,India,Delhi,SME,15,Referral,Mensual,29,4,1.0,6,-0.1,13,30,450,PayPal,0,0,0,1,32.46553558480596,Tecnico,2.0,0,0.85,0.13,-24,Satisfecho,0,0
CUST_00010,Femenino,70,Banglades,Berlin,Individual,17,Mobile,Mensual,18,5,7.338150078144248,3,0.27,0,30,510,PayPal,0,0,0,1,42.98619185872065,Facturacion,4.0,0,0.72,0.13,17,Neutral,1,0
CUST_00011,Masculino,60,Australia,New York,Individual,46,Referral,Anual,31,6,4.6509676714748736,7,0.26,27,30,1380,Transferencia Bancarias,1,0,0,2,11.368769460848384,Servicio,5.0,0,0.41,0.18,18,Neutral,1,0
CUST_00012,Masculino,54,Banglades,Dhaka,Enterprise,14,Web,Mensual,24,2,10.223439800416369,6,0.04,9,20,280,Tarjeta,0,0,1,2,49.72450588691105,Servicio,4.0,0,0.3,0.17,77,Satisfecho,0,0
CUST_00013,Masculino,65,Banglades,Londres,Individual,41,Web,Mensual,28,4,15.369837667741278,5,0.34,0,50,2050,PayPal,1,0,0,1,24.467867747682483,No clasificada,2.0,0,0.36,0.26,19,Satisfecho,1,0
CUST_00014,Masculino,24,Alemania,Dhaka,Individual,48,Referral,Mensual,19,6,13.991212386315038,4,0.22,4,30,1440,Tarjeta,1,0,1,1,26.91982224732825,Servicio,3.0,0,0.55,0.26,-16,Neutral,0,0
CUST_00015,Femenino,22,Alemania,Delhi,Individual,2,Referral,Anual,32,7,9.025836761320804,9,0.0,5,30,60,Tarjeta,2,0,0,2,30.95588452025188,No clasificada,3.0,0,0.21,0.19,55,Neutral,1,0
CUST_00016,Masculino,28,USA,Toronto,Enterprise,14,Mobile,Mensual,14,2,16.185839364714774,4,0.11,20,20,280,Tarjeta,1,0,0,0,42.7623883351522,Tecnico,4.0,0,0.71,0.36,-30,Satisfecho,1,0
CUST_00017,Femenino,32,Australia,New York,Individual,4,Web,Mensual,1,7,17.421436539865446,7,-0.08,12,30,120,Transferencia Bancarias,0,1,0,1,36.61299125758428,No clasificada,3.0,0,0.32,0.13,3,Insatisfecho,0,1
CUST_00018,Femenino,20,Australia,Dhaka,Individual,3,Referral,Anual,9,0,18.70103140272973,7,-0.03,0,70,210,Transferencia Bancarias,1,1,0,2,41.268949169905504,Tecnico,3.0,0,0.61,0.47,60,Satisfecho,2,0
CUST_00019,Femenino,22,Alemania,Toronto,Individual,3,Web,Anual,21,7,20.333383249273236,7,0.0,0,30,90,PayPal,0,1,1,1,40.22396316663823,Servicio,4.0,0,0.89,0.41,23,Satisfecho,2,0
