cliente_id,genero,edad,pais,ciudad,segmento_de_cliente,meses_permanencia,canal_de_registro,tipo_contrato,conexiones_mensuales,dias_activos_semanales,promedio_conexion,caracteristicas_usadas,tasa_crecimiento_uso,ultima_conexion,cuota_mensual,ingresos_totales,metodo_de_pago,errores_de_pago,descuento_aplicado,aumento_ultimos_3_meses,tickets_de_soporte,tiempo_promedio_de_resolucion,tipo_de_queja,puntuacion_csates,escaladas,tasa_apertura_email,puntuacion_nps,respuesta_de_la_encuesta,estado_de_conexion,permanencia_corta,abandonar
cust00001,masculino,68,uk,londres,sme,30,web,mensual,20,7,11.76,5,0.06,10,30,900,paypal,1,1,0,4,13.35,facturacion,4.0,0,0.87,6.0,satisfecho,en riesgo,0,0
cust00002,femenino,57,australia,sydney,individual,1,mobile,mensual,0,5,26.85,1,-0.28,85,30,30,tarjeta,1,0,1,1,25.14,facturacion,2.0,0,0.15,3.0,insatisfecho,inactivo,1,1
cust00003,masculino,24,us,new york,sme,58,web,anual,19,5,23.38,6,0.13,23,20,1160,tarjeta,2,0,0,1,27.57,facturacion,3.0,0,0.35,5.0,neutral,en riesgo,0,0
cust00004,masculino,49,banglades,dhaka,individual,41,mobile,anual,20,7,24.24,2,-0.17,14,30,1230,transferencia bancaria,0,1,0,3,26.42,tecnico,5.0,1,0.87,10.0,muy satisfecho,en riesgo,0,0
cust00005,masculino,65,india,delhi,individual,42,web,mensual,6,6,18.87,2,-0.16,10,50,2100,paypal,0,0,0,0,26.67,sin queja,4.0,0,0.93,6.0,satisfecho,en riesgo,0,0
cust00006,femenino,36,uk,londres,individual,35,mobile,mensual,10,3,20.94,2,-0.15,3,50,1750,tarjeta,0,0,0,0,36.04,sin queja,4.0,0,0.98,7.0,satisfecho,activo,0,0
cust00007,masculino,23,canada,toronto,sme,33,mobile,mensual,19,4,17.54,6,0.23,7,20,660,tarjeta,0,0,0,1,36.89,facturacion,4.0,0,0.95,7.0,satisfecho,activo,0,0
cust00008,masculino,37,australia,sydney,individual,16,referido,anual,16,7,26.19,8,0.22,4,20,320,tarjeta,0,1,0,2,25.02,tecnico,4.0,1,0.87,6.0,satisfecho,activo,0,0
cust00009,masculino,44,india,delhi,sme,1,referido,mensual,2,4,1.0,6,-0.1,75,30,30,paypal,0,0,0,1,32.47,tecnico,2.0,0,0.36,4.0,insatisfecho,inactivo,1,1
cust00010,femenino,70,alemania,berlin,individual,32,mobile,mensual,18,5,7.34,3,0.27,11,30,960,paypal,0,0,0,1,42.99,facturacion,4.0,0,0.93,7.0,satisfecho,en riesgo,0,0
cust00011,masculino,60,us,new york,individual,34,referido,anual,20,6,4.65,7,0.26,14,30,1020,transferencia bancaria,1,0,0,2,11.37,facturacion,5.0,0,0.8,9.0,muy satisfecho,en riesgo,0,0
cust00012,masculino,54,banglades,dhaka,enterprise,27,web,mensual,14,2,10.22,6,0.04,17,20,540,tarjeta,0,0,1,2,49.72,servicio,4.0,0,0.87,7.0,satisfecho,en riesgo,0,0
cust00013,masculino,65,uk,londres,individual,6,web,mensual,2,4,15.37,5,0.34,64,50,300,paypal,1,0,0,1,24.47,facturacion,2.0,0,0.0,3.0,insatisfecho,inactivo,1,1
cust00014,masculino,24,banglades,dhaka,individual,6,referido,mensual,0,6,13.99,4,0.22,88,30,180,tarjeta,1,0,1,1,26.92,facturacion,3.0,0,0.05,4.0,neutral,inactivo,1,0
cust00015,femenino,22,india,delhi,individual,2,referido,anual,32,7,9.03,9,0.0,5,30,60,tarjeta,2,0,0,2,30.96,facturacion,3.0,0,0.21,5.0,neutral,activo,1,0
cust00016,masculino,28,canada,toronto,enterprise,20,mobile,mensual,13,2,16.19,4,0.11,24,20,400,tarjeta,1,0,0,1,42.76,facturacion,4.0,0,0.81,7.0,satisfecho,en riesgo,0,0
cust00017,femenino,32,us,new york,individual,31,web,mensual,15,7,17.42,7,-0.08,10,30,930,transferencia bancaria,0,1,0,1,36.61,otro tipo de queja,3.0,0,0.94,5.0,neutral,en riesgo,0,1
cust00018,femenino,20,banglades,dhaka,individual,3,referido,anual,9,0,18.7,7,-0.03,0,70,210,transferencia bancaria,1,1,0,2,41.27,facturacion,3.0,0,0.61,5.0,neutral,activo,1,0
cust00019,femenino,22,canada,toronto,individual,24,web,anual,7,7,20.33,7,0.0,20,30,720,paypal,0,1,1,1,40.22,servicio,4.0,0,0.88,6.0,satisfecho,en riesgo,0,1
cust00020,masculino,40,australia,sydney,individual,11,web,mensual,22,1,10.63,2,-0.11,0,10,110,tarjeta,0,0,0,4,15.01,tecnico,3.0,1,0.21,5.0,neutral,activo,0,0
