ClienteID,FechaRegistro,Genero,EsMayor,TienePareja,TieneDependientes,Ciudad,Estado,Borough,CodigoPostal,Latitud,Longitud,IngresoMediano,DensidadPoblacional,ServicioTelefono,LineasMultiples,TipoInternet,SeguridadOnline,RespaldoOnline,ProteccionDispositivo,SoporteTecnico,StreamingTV,StreamingPeliculas,TipoContrato,FacturacionSinPapel,MetodoPago,Antiguedad,CargoMensual,CargosTotal,SegmentoCliente,nivel_riesgo,score_riesgo,ratio_precio_ingreso,TipoDeQueja,TicketsSoporte,Escaladas,PuntuacionNPS,PuntuacionCSAT,TiempoResolucion,TasaAperturaEmail,TasaClicsMarketing,Cancelacion
0002-ORFBO,2025-04-15,Femenino,0,Si,Si,New York,NY,BROOKLYN,11250,40.67299536971811,-73.94963611991778,63000,14000,Si,No,DSL,No,Si,No,Si,Si,No,Un año,Si,Cheque por correo,9,65.6,593.3,PYME,Medio,6.0,0.012495238095238,,1,0,75.0,4.5,7.9,0.59,0.23,No
0003-MKNFE,2025-04-15,Masculino,0,No,No,New York,NY,STATEN ISLAND,10310,40.56157121649843,-74.10380839879268,82000,3200,Si,Si,DSL,No,No,No,No,No,Si,Mensual,No,Cheque por correo,9,59.9,542.4,Residencial,Alto,8.5,0.0087658536585365,Red,3,0,52.0,3.9,15.2,0.4,0.17,No
0004-TLHLJ,2025-09-12,Masculino,0,No,No,New York,NY,QUEENS,11229,40.692945260047495,-73.84192637387054,72000,8500,Si,No,Fibra óptica,No,No,Si,No,No,No,Mensual,Si,Cheque electrónico,4,73.9,280.85,PYME,Alto,11.0,0.0123166666666666,Calidad,7,0,21.0,2.6,12.6,0.1,0.04,Si
0011-IGKFF,2024-12-16,Masculino,1,Si,No,New York,NY,QUEENS,11501,40.744186986682905,-73.80174156708824,72000,8500,Si,No,Fibra óptica,No,Si,Si,No,Si,Si,Mensual,Si,Cheque electrónico,13,98.0,1237.85,PYME,Alto,9.5,0.0163333333333333,Servicio,7,1,13.0,1.5,44.4,0.3,0.14,Si
0013-EXCHZ,2025-10-12,Femenino,1,Si,No,New York,NY,MANHATTAN,10257,40.832359771858165,-73.9552965318901,85000,28000,Si,No,Fibra óptica,No,No,No,Si,Si,No,Mensual,Si,Cheque por correo,3,83.9,267.4,PYME,Alto,10.0,0.0118447058823529,Facturacion,7,0,0.0,1.2,10.0,0.15,0.06,Si
0013-MHZWF,2025-04-15,Femenino,0,No,Si,New York,NY,MANHATTAN,10025,40.73845765596074,-74.00715009902045,85000,28000,Si,No,DSL,No,No,No,Si,Si,Si,Mensual,Si,Tarjeta de crédito,9,69.4,571.45,Residencial,Medio,7.5,0.0097976470588235,,2,0,50.0,3.0,5.9,0.42,0.13,No
0013-SMEOE,2020-03-12,Femenino,1,Si,No,New York,NY,MANHATTAN,10158,40.81876123362249,-73.92843254585004,85000,28000,Si,No,Fibra óptica,Si,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria,71,109.7,7904.25,Corporativo,Medio,4.0,0.0154870588235294,,2,0,84.0,4.9,4.5,0.73,0.36,No
0014-BMAQU,2020-11-07,Masculino,0,Si,No,New York,NY,BRONX,10467,40.88964251555415,-73.83055358931645,42000,13000,Si,Si,Fibra óptica,Si,No,No,Si,No,No,Dos años,Si,Tarjeta de crédito,63,84.65,5377.8,Corporativo,Medio,5.0,0.0241857142857142,,2,0,60.0,2.8,6.2,0.26,0.11,No
0015-UOCOJ,2025-06-14,Femenino,1,No,No,New York,NY,QUEENS,11072,40.7743864874348,-73.79015935939988,72000,8500,Si,No,DSL,Si,No,No,No,No,No,Mensual,Si,Cheque electrónico,7,48.2,340.35,Residencial,Medio,7.5,0.0080333333333333,,2,0,84.0,4.7,32.2,0.79,0.37,No
0016-QLJIS,2020-09-08,Femenino,0,Si,Si,New York,NY,QUEENS,11452,40.7274781345865,-73.8288286650809,72000,8500,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,Si,Cheque por correo,65,90.45,5957.9,Corporativo,Medio,4.0,0.015075,,1,0,64.0,3.0,2.3,0.27,0.13,No
0017-DINOC,2021-08-04,Masculino,0,No,No,New York,NY,MANHATTAN,10234,40.82267928728947,-73.95588128108422,85000,28000,No,Sin servicio,DSL,Si,No,No,Si,Si,No,Dos años,No,Tarjeta de crédito,54,45.2,2460.55,PYME,Bajo,3.0,0.0063811764705882,,0,0,83.0,4.6,11.8,0.52,0.23,No
0017-IUDMW,2020-02-11,Femenino,0,Si,Si,New York,NY,STATEN ISLAND,10311,40.56591210568416,-74.1362613578546,82000,3200,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Dos años,Si,Tarjeta de crédito,72,116.8,8456.75,Corporativo,Medio,4.0,0.0170926829268292,,2,0,77.0,4.5,3.8,0.42,0.2,No
0018-NYROU,2025-08-13,Femenino,0,Si,No,New York,NY,BRONX,10474,40.85784176183814,-73.8855074796597,42000,13000,Si,No,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,5,68.95,351.5,Residencial,Alto,12.0,0.0197,Precio,2,0,39.0,3.5,38.6,0.22,0.07,No
0019-EFAEP,2020-02-11,Femenino,0,No,No,New York,NY,BROOKLYN,11217,40.69519699240966,-73.98700191815367,63000,14000,Si,Si,Fibra óptica,Si,Si,Si,No,Si,No,Dos años,Si,Transferencia bancaria,72,101.3,7261.25,Corporativo,Medio,6.0,0.019295238095238,,2,0,61.0,4.0,48.0,0.4,0.18,No
0019-GFNTW,2021-06-05,Femenino,0,No,No,New York,NY,MANHATTAN,10131,40.80449009333966,-73.97319814901553,85000,28000,No,Sin servicio,DSL,Si,Si,Si,Si,No,No,Dos años,No,Transferencia bancaria,56,45.05,2560.1,PYME,Bajo,2.0,0.00636,,0,0,99.0,4.9,7.1,0.61,0.26,No
0020-INWCK,2020-03-12,Femenino,0,Si,Si,New York,NY,MANHATTAN,10178,40.74824576224004,-73.97701509655222,85000,28000,Si,Si,Fibra óptica,No,Si,Si,No,No,Si,Dos años,Si,Tarjeta de crédito,71,95.75,6849.4,Corporativo,Medio,6.0,0.0135176470588235,,1,0,82.0,4.8,41.0,0.54,0.23,No
0020-JDNXP,2023-03-27,Femenino,0,Si,Si,New York,NY,BROOKLYN,11233,40.65852810260654,-73.95794167874053,63000,14000,No,Sin servicio,DSL,Si,No,Si,Si,Si,Si,Un año,No,Cheque por correo,34,61.25,1993.2,PYME,Medio,4.0,0.0116666666666666,,2,0,61.0,3.5,10.2,0.44,0.18,No
0021-IKXGC,2025-12-11,Femenino,1,No,No,New York,NY,QUEENS,11233,40.7450504901151,-73.74763733955675,72000,8500,Si,Si,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,1,72.1,72.1,PYME,Alto,12.0,0.0120166666666666,Servicio,3,0,47.0,2.9,29.0,0.23,0.09,No
0022-TCJCI,2022-05-01,Masculino,1,No,No,New York,NY,BROOKLYN,11216,40.69369071231478,-73.94992640722936,63000,14000,Si,No,DSL,Si,No,Si,No,No,Si,Un año,No,Tarjeta de crédito,45,62.7,2791.5,Residencial,Medio,5.0,0.0119428571428571,Precio,4,0,10.0,1.4,37.3,0.28,0.09,Si
0023-HGHWL,2025-12-11,Masculino,1,No,No,New York,NY,BROOKLYN,11224,40.71496416147202,-73.97094319257431,63000,14000,No,Sin servicio,DSL,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,1,25.1,25.1,Residencial,Alto,10.0,0.0047809523809523,Red,6,0,10.0,2.4,46.9,0.11,0.04,Si
0023-UYUPN,2021-12-02,Femenino,1,Si,No,New York,NY,QUEENS,11385,40.726435620858275,-73.774613355595,72000,8500,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Un año,No,Cheque electrónico,50,25.2,1306.3,Residencial,Medio,5.0,0.0042,,2,0,79.0,4.7,16.1,0.8,0.33,No
0023-XUOPT,2024-12-16,Femenino,0,Si,No,New York,NY,MANHATTAN,10094,40.814440689356466,-73.94691687235343,85000,28000,Si,Si,Fibra óptica,No,Si,Si,No,Si,No,Mensual,No,Cheque electrónico,13,94.1,1215.6,PYME,Alto,9.5,0.0132847058823529,Red,6,3,15.0,1.5,21.7,0.13,0.06,Si
0027-KWYKW,2024-02-20,Femenino,0,Si,Si,New York,NY,BROOKLYN,11231,40.64711386963267,-73.9368508236109,63000,14000,Si,Si,Fibra óptica,No,No,No,No,Si,No,Mensual,Si,Cheque electrónico,23,83.75,1849.95,PYME,Alto,10.5,0.0159523809523809,Red,2,0,35.0,3.2,44.4,0.3,0.09,No
